"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68"
"50","A50",5,5,5,4.49,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"51","A51",5,5,5.1,5.13,5.5,5.5,5.5,5.5,5.53,5.7,5.9,5.96,6.3,6.3,6.3,6.4,6.5,6.67,6.7,6.8,6.98,7,7.01,7.1,7.14,7.2,7.2,7.2,7.22,7.58,7.6
"52","A52",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"53","A53",5,5,5,5.01,6.06,6.5,6.99,6.07,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"54","A54",5,5,5,5,5.2,5.2,5.22,5.3,5.5,5.58,5.68,5.7,5.8,5.8,6,6,6,6,6,6,6,6,6,6,6.61,6.6,7,7.3,7.6,8.04,8.18
"55","A55",5,5,5,5.04,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.38,4,4,4,4,4,4,4
"56","A56",5,5,5,5,5,4.59,4.26,4.09,4,4,4,4,4,4,4,4,4,3.68,3.6,3.74,4,4,4,4,4,4,4,4,4,4.51,5.43
"57","A57",5,5,5,5,5,5,4.77,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
"58","A58",5,5,5.66,6,6.46,6.9,6.99,7,7,7.1,7.09,6.08,5.4,5.15,4.19,3.84,3.8,3.8,3.8,3.78,3.3,2.91,2.9,2.9,3,3,3,2.86,2.8,2.8,2.8
"59","A59",5,5,5,5,5,5,5,5,5,5,5,4.87,4.5,4.5,1.68,1,1.16,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"60","A60",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.11,6.49,6.09,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"61","A61",5,5,5,5,5,5,5,4.92,4.53,4.04,3.8,3.8,3.8,3.8,3.8,4.19,4.4,4.39,3.99,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.81,4.16,4.84,5.52,5.8
"62","A62",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.83,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.98,5,5.18,5.3,5.5,5.5
"63","A63",5,5,4.99,1.67,3.01,1.22,1.98,2.29,2.4,2.4,2.4,2.4,2.4,2.5,2.97,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"64","A64",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.39,5.5,5.5,5.5,5.5
"65","A65",5,5,5,5,5,5,5.09,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
"66","A66",5,5,5,5,7.82,8.72,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.89,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"67","A67",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"68","A68",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.06,5.54,5.4,5.4,5.4,5.4,5.4
"69","A69",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,4.9,4.9
"70","A70",5,5,4.99,4,4,4,4.07,3.5,3.5,3.5,3.5,3.13,3.14,5.19,6.28,6.89,7,7,7,7,7,7,7.1,7.87,8.4,8.4,8.23,8.2,7.91,7.13,7.13
"71","A71",5,5,5.14,6.2,6.4,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
"72","A72",5,5.1,5.21,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,6.07,7.3,7.3,7.3,7.3
